name,gw_frac,n_postcodes
NE65,0.0,1055
NE66,0.0,995
NE67,0.0,110
NE68,0.0,110
NE69,0.0,37
NE7,0.0,280
NE70,0.0,126
NE71,0.0,187
NE8,0.0,731
NE85,0.0,3
NE88,0.0,4
NE9,0.0,834
NE92,0.0,8
NE98,0.0,5
NE99,0.0,98
NG1,0.0,645
NG10,0.0,988
NG11,0.0,871
NG12,0.0,973
NG13,0.0,677
NG14,0.0,571
NG15,0.0,992
NG16,0.0,1422
NG17,0.0,1607
NG18,0.0,1171
NG19,0.0,1210
NG2,0.0,1306
NG20,0.0,703
NG21,0.0,560
NG22,0.0,910
NG23,0.0,761
NG24,0.0,1282
NG25,0.0,285
NG3,0.0,1025
NG31,0.0,1101
NG32,0.0,613
NG33,0.0,455
NG34,0.0,1300
NG4,0.0,900
NG5,0.0,1908
NG6,0.0,781
NG7,0.0,1158
NG8,0.0,1196
NG80,0.0,3
NG9,0.0,1616
NG90,0.0,1
NN1,0.0,822
NN10,0.0,849
NN11,0.0,1119
NN12,0.0,751
NN13,0.0,564
NN14,0.0,1158
NN15,0.0,924
NN16,0.0,857
NN17,0.0,865
NN18,0.0,648
NN2,0.0,793
NN29,0.0,276
NN3,0.0,1314
NN4,0.0,949
NN5,0.0,840
NN6,0.0,1137
NN7,0.0,821
NN8,0.0,1183
NN9,0.0,664
NP16,0.0,192
NP25,0.0,37
NP7,0.0,1
NR1,0.0,862
NR10,0.0,728
NR11,0.0,773
NR12,0.0,911
NR13,0.0,1044
NR14,0.0,925
NR15,0.0,601
NR16,0.0,489
NR17,0.0,553
NR18,0.0,668
NR19,0.0,662
NR2,0.0,719
NR20,0.0,839
NR21,0.0,801
NR22,0.0,67
NR23,0.0,227
NR24,0.0,208
NR25,0.0,529
NR26,0.0,290
NR27,0.0,380
NR28,0.0,602
NR29,0.0,717
NR3,0.0,822
NR30,0.0,950
NR31,0.0,1166
NR32,0.0,1092
NR33,0.0,919
NR34,0.0,842
NR35,0.0,449
NR4,0.0,536
NR5,0.0,627
NR6,0.0,619
NR7,0.0,897
NR8,0.0,473
NR9,0.0,687
NW1,0.0,1594
NW10,0.0,1806
NW11,0.0,845
NW1W,0.0,1039
NW2,0.0,1297
NW26,0.0,44
NW3,0.0,1324
NW4,0.0,742
NW5,0.0,857
NW6,0.0,1293
NW7,0.0,792
NW8,0.0,842
NW9,0.0,1421
OL1,0.0,783
OL10,0.0,806
OL11,0.0,1056
OL12,0.0,1170
OL13,0.0,638
OL14,0.0,779
OL15,0.0,532
OL16,0.0,1112
OL2,0.0,1064
OL3,0.0,582
OL4,0.0,1041
OL5,0.0,366
OL6,0.0,887
OL7,0.0,416
OL8,0.0,816
OL9,0.0,951
OX1,0.0,845
OX10,0.0,1010
OX11,0.0,1124
OX12,0.0,982
OX13,0.0,460
OX14,0.0,1302
OX15,0.0,826
OX16,0.0,1339
OX17,0.0,707
OX18,0.0,908
OX2,0.0,1011
OX20,0.0,266
OX25,0.0,495
OX26,0.0,942
OX27,0.0,358
OX28,0.0,773
OX29,0.0,990
OX3,0.0,965
OX33,0.0,281
OX39,0.0,254
OX4,0.0,1363
OX44,0.0,336
OX49,0.0,223
OX5,0.0,685
OX7,0.0,1087
OX9,0.0,559
PE1,0.0,1167
PE10,0.0,666
