name,f_high,f_low
EN1 3,0.000020,0.000076
EN1 4,0.000019,0.000072
EN1 9,0.000250,0.000935
EN10 6,0.017166,0.115931
EN10 7,0.000841,0.010210
EN11 0,0.103299,0.124214
EN11 1,0.032989,0.042139
EN11 8,0.002618,0.007313
EN11 9,0.003282,0.004193
EN2 0,0.000136,0.000314
EN2 6,0.000197,0.000457
EN2 7,0.004925,0.005111
EN2 8,0.000127,0.000295
EN2 9,0.000280,0.010173
EN3 4,0.004872,0.022385
EN3 5,0.000570,0.040395
EN3 6,0.012299,0.125402
EN3 7,0.009285,0.040088
EN4 0,0.007562,0.013977
EN4 8,0.021662,0.026131
EN4 9,0.011314,0.011763
EN5 1,0.000294,0.000714
EN5 2,0.000228,0.000555
EN5 3,0.007489,0.008128
EN5 4,0.000341,0.000829
EN5 5,0.007531,0.022460
EN5 9,0.003171,0.007708
EN6 1,0.010578,0.010648
EN6 2,0.016166,0.016239
EN6 3,0.001060,0.001149
EN6 4,0.000826,0.000896
EN6 5,0.012535,0.012617
EN6 9,0.008427,0.009138
EN7 5,0.000037,0.009533
EN7 6,0.000026,0.003533
EN8 0,0.001520,0.078485
EN8 1,0.018539,0.157521
EN8 7,0.015900,0.349766
EN8 8,0.012965,0.123655
EN8 9,0.047355,0.110276
EN9 1,0.037574,0.145847
EN9 2,0.066461,0.081824
EN9 3,0.012782,0.026396
EX1 1,0.000599,0.007582
EX1 2,0.000368,0.000534
EX1 3,0.007609,0.007709
EX1 4,0.001191,0.001729
EX1 9,0.002351,0.003413
EX10 0,0.122926,0.136042
EX10 1,0.035981,0.039582
EX10 8,0.164257,0.180300
EX10 9,0.027380,0.027958
EX11 1,0.045422,0.051574
EX12 2,0.056390,0.088779
EX12 3,0.037209,0.039973
EX12 4,0.164534,0.190633
EX12 9,0.060694,0.083773
EX13 5,0.030510,0.030582
EX13 7,0.028171,0.028254
EX13 8,0.008205,0.008538
EX13 9,0.027486,0.028601
EX14 0,0.007974,0.019017
EX14 1,0.021498,0.034918
EX14 2,0.001029,0.041163
EX14 3,0.004955,0.010172
