name,sw_high,sw_low
BH23 9,0.085545,0.269765
BH24 1,0.116697,0.286304
BH24 2,0.048169,0.139136
BH24 3,0.058298,0.187085
BH24 4,0.040416,0.128329
BH24 9,0.073789,0.201815
BH25 5,0.058070,0.119834
BH25 6,0.087606,0.193715
BH25 7,0.057994,0.137417
BH25 9,0.066226,0.147094
BH3 7,0.008741,0.079778
BH31 6,0.067565,0.178436
BH31 7,0.055485,0.135632
BH4 0,0.013724,0.152140
BH4 8,0.002178,0.111451
BH4 9,0.017362,0.183533
BH5 1,0.014631,0.221115
BH5 2,0.020163,0.203890
BH6 3,0.035875,0.228332
BH6 4,0.033409,0.220450
BH6 5,0.029677,0.274947
BH7 6,0.011186,0.182505
BH7 7,0.021162,0.129064
BH8 0,0.092888,0.339387
BH8 8,0.003126,0.170881
BH8 9,0.040052,0.189506
BH9 1,0.056615,0.154069
BH9 2,0.062682,0.208059
BH9 3,0.023289,0.252593
BL0 0,0.175476,0.261334
BL0 9,0.194522,0.336414
BL1 1,0.169282,0.267334
BL1 2,0.213051,0.322224
BL1 3,0.093077,0.247493
BL1 4,0.098670,0.254652
BL1 5,0.120143,0.211387
BL1 6,0.131885,0.271142
BL1 7,0.156358,0.271957
BL1 8,0.179612,0.307068
BL1 9,0.070151,0.131952
BL2 1,0.079048,0.154294
BL2 2,0.149858,0.297441
BL2 3,0.095758,0.239096
BL2 4,0.093005,0.225933
BL2 5,0.093503,0.227124
BL2 6,0.094591,0.206042
BL3 1,0.144457,0.275586
BL3 2,0.124821,0.263567
BL3 3,0.085073,0.223838
BL3 4,0.103373,0.191380
BL3 5,0.141440,0.317185
BL3 6,0.152715,0.296569
BL4 0,0.074453,0.210136
BL4 7,0.124585,0.378759
BL4 8,0.105736,0.249313
BL4 9,0.122505,0.279830
BL5 1,0.117898,0.242294
BL5 2,0.137956,0.248543
BL5 3,0.123800,0.238760
BL6 4,0.143458,0.244527
BL6 5,0.097137,0.242294
BL6 6,0.116275,0.241705
BL6 7,0.104888,0.278086
BL6 9,0.113903,0.250932
BL7 0,0.143671,0.233708
BL7 8,0.151241,0.293832
BL7 9,0.156600,0.305345
BL8 1,0.151722,0.296539
BL8 2,0.149046,0.308606
BL8 3,0.140787,0.302164
BL8 4,0.159923,0.246147
BL8 9,0.077479,0.150166
BL9 0,0.188030,0.416554
BL9 5,0.145889,0.271283
BL9 6,0.076306,0.170308
BL9 7,0.103731,0.185285
BL9 8,0.042574,0.154725
BL9 9,0.149404,0.278198
BN1 1,0.258816,0.467656
BN1 2,0.277169,0.470362
BN1 3,0.094650,0.161397
BN1 4,0.280686,0.482583
BN1 5,0.037338,0.094355
BN1 6,0.114246,0.208647
BN1 7,0.071986,0.125338
BN1 8,0.071701,0.134289
BN1 9,0.081442,0.180386
BN10 7,0.065832,0.130825
BN10 8,0.101346,0.182842
BN10 9,0.086068,0.161479
BN11 1,0.225284,0.364298
BN11 2,0.147250,0.246996
BN11 3,0.406602,0.593122
BN11 4,0.182253,0.306689
BN11 5,0.107946,0.260958
BN11 9,0.124258,0.207427
BN12 4,0.099988,0.251234
BN12 5,0.059469,0.163117
BN12 6,0.107678,0.316032
BN12 9,0.089840,0.242155
BN13 1,0.066764,0.189424
BN13 2,0.082269,0.176696
BN13 3,0.079743,0.136019
BN14 0,0.118405,0.220191
BN14 7,0.119438,0.246731
BN14 8,0.104181,0.311882
BN14 9,0.062016,0.223598
BN15 0,0.046891,0.113580
BN15 5,0.084557,0.194811
BN15 8,0.103177,0.256611
BN15 9,0.096088,0.203548
BN16 1,0.091871,0.264858
BN16 2,0.084451,0.185773
BN16 3,0.096602,0.206859
BN16 4,0.125295,0.226885
BN16 9,0.042549,0.093500
BN17 5,0.167814,0.320411
BN17 6,0.063275,0.162175
BN17 7,0.074809,0.216691
BN18 0,0.047866,0.114882
BN18 8,0.059456,0.132761
BN18 9,0.074735,0.155023
BN2 0,0.145854,0.259750
BN2 1,0.205396,0.355597
BN2 3,0.198986,0.350365
BN2 4,0.069958,0.121948
BN2 5,0.097850,0.197648
BN2 6,0.059540,0.093514
BN2 7,0.115071,0.204217
BN2 8,0.061067,0.114251
BN2 9,0.149338,0.281041
BN20 0,0.053811,0.108353
BN20 7,0.096664,0.172935
BN20 8,0.052972,0.126205
BN20 9,0.042984,0.101955
BN21 1,0.094495,0.216853
BN21 2,0.044141,0.116957
BN21 3,0.258039,0.458663
BN21 4,0.258034,0.443381
BN21 9,0.102146,0.196390
BN22 0,0.055697,0.142265
BN22 7,0.126510,0.334433
BN22 8,0.123284,0.360481
BN22 9,0.179523,0.297567
BN23 5,0.064403,0.197982
BN23 6,0.092088,0.317654
BN23 7,0.170624,0.353179
BN23 8,0.113323,0.220310
BN24 5,0.049925,0.114636
BN24 6,0.073685,0.205337
BN24 9,0.061584,0.154294
BN25 1,0.136625,0.196731
BN25 2,0.061217,0.118480
BN25 3,0.050252,0.133847
BN25 4,0.045280,0.122305
BN25 9,0.073370,0.143550
BN26 5,0.065407,0.131430
BN26 6,0.092045,0.197944
BN26 9,0.080673,0.169156
BN27 1,0.072814,0.204880
BN27 2,0.051069,0.252341
BN27 3,0.078752,0.272533
BN27 4,0.083809,0.177504
BN27 9,0.073040,0.228559
BN3 1,0.201470,0.349911
BN3 2,0.207378,0.432274
BN3 3,0.271388,0.512208
BN3 4,0.183291,0.323824
BN3 5,0.115537,0.281734
BN3 6,0.073264,0.158948
BN3 7,0.056021,0.126337
BN3 8,0.044944,0.135839
BN41 1,0.192775,0.363809
BN41 2,0.090440,0.145041
BN41 9,0.130755,0.233235
BN42 4,0.066009,0.188005
BN43 5,0.085351,0.197326
BN43 6,0.114564,0.228167
BN43 9,0.056542,0.547622
BN44 3,0.077358,0.158600
BN45 7,0.032150,0.065188
BN5 0,0.063810,0.141569
BN5 9,0.061124,0.136560
BN6 0,0.102363,0.158673
BN6 8,0.115287,0.171623
BN6 9,0.090781,0.143782
BN7 1,0.039930,0.100646
BN7 2,0.072572,0.171348
BN7 3,0.053170,0.091913
BN7 9,0.022498,0.050274
BN8 4,0.089242,0.164171
BN8 5,0.133175,0.226057
BN8 6,0.107349,0.182988
BN9 0,0.073412,0.209616
BN9 1,0.073998,0.181736
BN9 9,0.072148,0.161610
BR1 1,0.164122,0.317345
BR1 2,0.091774,0.198956
BR1 3,0.094231,0.217118
BR1 4,0.166901,0.325093
BR1 5,0.207890,0.333087
BR1 9,0.069875,0.135213
BR2 0,0.183841,0.382971
BR2 6,0.045472,0.104772
BR2 7,0.149013,0.332677
BR2 8,0.178282,0.358764
BR2 9,0.107818,0.264298
BR3 1,0.227519,0.388732
BR3 3,0.122089,0.246507
BR3 4,0.230220,0.445278
BR3 5,0.120706,0.254747
BR3 6,0.113768,0.225410
BR3 9,0.169127,0.322950
BR4 0,0.181172,0.303247
BR4 4,0.143962,0.285359
BR4 9,0.112638,0.272204
BR5 1,0.077158,0.184264
BR5 2,0.087955,0.219693
BR5 3,0.166780,0.273891
BR5 4,0.140644,0.295313
BR6 0,0.182189,0.351834
BR6 1,0.104486,0.207189
BR6 6,0.062669,0.156173
BR6 7,0.075392,0.167726
BR6 8,0.108710,0.201772
BR6 9,0.088141,0.155891
BR7 5,0.071171,0.175611
BR7 6,0.061232,0.156934
BR8 7,0.106275,0.194129
BR8 8,0.088394,0.175352
BR8 9,0.101353,0.190493
BS1 1,0.084698,0.448860
BS1 2,0.266746,0.592730
BS1 3,0.245161,0.624144
BS1 4,0.205776,0.533439
BS1 5,0.205072,0.578686
BS1 6,0.295608,0.522133
BS1 9,0.170610,0.667078
BS10 5,0.274935,0.538872
BS10 6,0.191761,0.496967
BS10 7,0.162533,0.435126
BS11 0,0.239434,0.393648
BS11 1,0.261229,0.451549
BS11 8,0.291061,0.476928
BS11 9,0.290318,0.522673
BS13 0,0.256843,0.463990
BS13 7,0.157092,0.380862
BS13 8,0.211638,0.399044
BS13 9,0.308250,0.541185
BS14 0,0.291689,0.429988
BS14 8,0.184358,0.403458
BS14 9,0.216791,0.477534
BS15 0,0.120861,0.309561
BS15 1,0.094097,0.311891
BS15 3,0.163632,0.312515
BS15 4,0.110263,0.299970
BS15 8,0.099067,0.322404
BS15 9,0.143546,0.299431
BS16 0,0.099201,0.288688
BS16 1,0.073836,0.297556
BS16 2,0.137753,0.324289
BS16 3,0.046222,0.318397
BS16 4,0.080257,0.280216
BS16 5,0.088502,0.253778
BS16 6,0.128514,0.292049
BS16 7,0.152827,0.267660
BS16 9,0.080441,0.265991
BS2 0,0.225960,0.474332
BS2 2,0.209841,0.478530
BS2 8,0.121016,0.414466
BS2 9,0.298521,0.568637
BS20 0,0.137778,0.254082
BS20 1,0.079561,0.201895
