name,f_high,f_low
KT14,0.059650,0.290874
KT15,0.066259,0.127879
KT16,0.257441,0.336748
KT17,0.001636,0.008198
KT18,0.002271,0.005498
KT19,0.019421,0.051857
KT20,0.001757,0.004255
KT21,0.005533,0.009754
KT22,0.024264,0.039913
KT23,0.008139,0.012382
KT24,0.033227,0.044960
L1,0.000330,0.077496
L2,0.006692,0.043115
L3,0.077626,0.159145
L4,0.003900,0.006703
L5,0.000337,0.003160
L6,0.000291,0.000803
L7,0.000324,0.000892
L8,0.000214,0.000591
L9,0.005050,0.008679
L10,0.003774,0.050543
L11,0.000272,0.016935
L12,0.010390,0.054756
L13,0.000267,0.000735
L14,0.000308,0.002883
L15,0.000315,0.000866
L16,0.027398,0.028413
L17,0.000325,0.000896
L18,0.000277,0.000761
L19,0.000305,0.000840
L20,0.001230,0.002581
L21,0.000257,0.007510
L22,0.000524,0.001444
L23,0.000217,0.000596
L24,0.002856,0.003513
L25,0.008403,0.009889
L26,0.029422,0.053867
L27,0.000863,0.013804
L28,0.001118,0.040117
L29,0.051214,0.081327
L30,0.000333,0.003118
L31,0.029048,0.048200
L32,0.000279,0.002612
L33,0.000277,0.002598
L34,0.004519,0.005075
L35,0.002849,0.005849
L36,0.000156,0.005606
L37,0.010364,0.091907
L38,0.009672,0.070721
L39,0.014828,0.025819
L40,0.032905,0.040233
LA1,0.053410,0.150474
LA2,0.072315,0.111817
LA3,0.030690,0.127586
LA4,0.220143,0.371453
LA5,0.029622,0.039857
LA6,0.055882,0.070459
LA7,0.024102,0.037503
LA8,0.061181,0.082637
LA9,0.106454,0.174918
LA10,0.044081,0.086395
LA11,0.073410,0.087049
LA12,0.043084,0.069102
LA13,0.091952,0.136581
LA14,0.023359,0.042107
LA15,0.100520,0.139490
LA16,0.094297,0.170270
LA17,0.170217,0.183236
LA18,0.077364,0.229353
LA19,0.082746,0.105285
LA20,0.107992,0.117695
LA21,0.198647,0.216599
LA22,0.154810,0.183530
LA23,0.031333,0.035448
LD1,0.062500,0.062500
LD2,0.062500,0.062500
LD3,0.062500,0.062500
LD4,0.062500,0.062500
LD5,0.062500,0.062500
LD6,0.062500,0.062500
LD7,0.053571,0.053571
LD8,0.070652,0.070652
LE1,0.000577,0.030365
LE2,0.013831,0.058027
LE3,0.029855,0.076103
LE4,0.027639,0.108699
LE5,0.023327,0.111161
LE6,0.001402,0.003940
LE7,0.036776,0.057594
LE8,0.015018,0.032628
LE9,0.008955,0.018152
LE10,0.002124,0.003632
LE11,0.076040,0.177000
LE12,0.029931,0.049950
LE13,0.027721,0.068695
LE14,0.010575,0.020160
LE15,0.003983,0.007338
LE16,0.005130,0.061079
LE17,0.000469,0.001316
LE18,0.001990,0.007308
LE19,0.002848,0.010457
LE65,0.013577,0.027812
LE67,0.010742,0.013817
LL11,0.035714,0.035714
LL12,0.035714,0.035714
LL13,0.035714,0.035714
LL14,0.035714,0.035714
LL15,0.035714,0.035714
LL16,0.035714,0.035714
LL17,0.035714,0.035714
LL18,0.035714,0.035714
LL19,0.035714,0.035714
LL20,0.035714,0.035714
LL21,0.035714,0.035714
LL22,0.035714,0.035714
LL23,0.035714,0.035714
LL24,0.035714,0.035714
LL25,0.035714,0.035714
LL26,0.035714,0.035714
LL27,0.035714,0.035714
LL28,0.035714,0.035714
LL29,0.035714,0.035714
LL30,0.035714,0.035714
LL31,0.035714,0.035714
LL32,0.035714,0.035714
LL33,0.035714,0.035714
LL34,0.035714,0.035714
LL35,0.035714,0.035714
LL36,0.035714,0.035714
LL37,0.035714,0.035714
LL38,0.035714,0.035714
LL39,0.035714,0.035714
LL40,0.035714,0.035714
LL41,0.035714,0.035714
LL42,0.035714,0.035714
LL43,0.035714,0.035714
