name,burglaries,months
CA15 8,47,36
CA15 9,0,36
CA16 6,30,36
CA17 4,38,36
CA18 1,1,36
CA19 1,2,36
CA2 4,59,36
CA2 5,96,36
CA2 6,85,36
CA2 7,73,36
CA20 1,17,36
CA21 2,10,36
CA22 2,50,36
CA22 9,0,36
CA23 3,12,36
CA24 3,6,36
CA25 5,50,36
CA26 3,45,36
CA27 0,8,36
CA28 0,0,36
CA28 6,17,36
CA28 7,69,36
CA28 8,28,36
CA28 9,56,36
CA3 0,21,36
CA3 8,56,36
CA3 9,25,36
CA4 0,12,36
CA4 8,11,36
CA4 9,4,36
CA5 6,8,36
CA5 7,8,36
CA6 4,8,36
CA6 5,34,36
CA6 6,5,36
CA7 0,5,36
CA7 1,3,36
CA7 2,11,36
CA7 3,14,36
CA7 4,30,36
CA7 5,7,36
CA7 7,0,36
CA7 8,4,36
CA7 9,22,36
CA8 0,0,36
CA8 1,28,36
CA8 2,10,36
CA8 7,10,36
CA8 9,7,36
CA9 3,14,36
CB1 0,0,36
CB1 1,58,36
CB1 2,116,36
CB1 3,185,36
CB1 7,34,36
CB1 8,81,36
CB1 9,96,36
CB10 1,82,36
CB10 2,67,36
CB10 9,0,36
CB11 3,94,36
CB11 4,104,36
CB2 0,26,36
CB2 1,77,36
CB2 3,68,36
CB2 7,2,36
CB2 8,49,36
CB2 9,125,36
CB21 4,63,36
CB21 5,56,36
CB21 6,25,36
CB22 3,67,36
CB22 4,31,36
CB22 5,69,36
CB22 6,17,36
CB22 7,48,36
CB23 1,27,36
CB23 2,51,36
CB23 3,46,36
CB23 4,25,36
CB23 5,14,36
CB23 6,40,36
CB23 7,80,36
CB23 8,69,36
CB24 1,15,36
CB24 3,47,36
CB24 4,48,36
CB24 5,50,36
CB24 6,47,36
CB24 8,92,36
CB24 9,77,36
CB25 0,69,36
CB25 9,96,36
CB3 0,107,36
CB3 1,24,36
CB3 9,42,36
CB4 0,10,36
CB4 1,298,36
CB4 2,217,36
CB4 3,142,36
CB5 8,220,36
CB6 1,129,36
CB6 2,116,36
CB6 3,143,36
CB7 4,103,36
CB7 5,158,36
CB7 6,8,36
CB7 7,4,36
CB7 9,0,36
CB8 0,99,36
CB8 1,1,36
CB8 7,85,36
CB8 8,93,36
CB8 9,66,36
CB9 0,45,36
CB9 1,1,36
CB9 7,62,36
CB9 8,64,36
CB9 9,47,36
CF10 1,198,36
CF10 2,109,36
CF10 3,97,36
CF10 4,95,36
CF10 5,129,36
CF11 0,67,36
CF11 1,0,36
CF11 6,220,36
CF11 7,157,36
CF11 8,122,36
CF11 9,198,36
CF14 0,25,36
CF14 1,87,36
CF14 2,96,36
CF14 3,124,36
CF14 4,73,36
CF14 5,88,36
CF14 6,45,36
CF14 7,53,36
CF14 8,0,36
CF14 9,11,36
CF15 5,0,36
CF15 7,60,36
CF15 8,42,36
CF15 9,27,36
CF23 5,102,36
CF23 6,52,36
CF23 7,56,36
CF23 8,44,36
CF23 9,131,36
CF24 0,121,36
CF24 1,172,36
CF24 2,130,36
CF24 3,309,36
CF24 4,219,36
CF24 5,45,36
CF3 0,79,36
CF3 1,50,36
CF3 2,32,36
CF3 3,62,36
CF3 4,44,36
CF3 5,53,36
CF3 6,24,36
CF31 1,120,36
CF31 2,33,36
CF31 3,46,36
CF31 4,60,36
CF31 5,10,36
CF31 9,0,36
CF32 0,23,36
CF32 7,17,36
CF32 8,34,36
CF32 9,53,36
CF33 4,46,36
CF33 6,50,36
CF34 0,91,36
CF34 4,5,36
CF34 9,83,36
CF35 5,24,36
CF35 6,36,36
CF36 3,43,36
CF36 5,88,36
CF36 9,0,36
CF37 1,128,36
CF37 2,26,36
CF37 3,43,36
CF37 4,64,36
CF37 5,76,36
CF37 9,0,36
CF38 1,37,36
CF38 2,42,36
CF39 0,13,36
CF39 8,87,36
CF39 9,56,36
CF40 1,63,36
CF40 2,72,36
CF40 9,0,36
CF41 7,80,36
CF42 5,52,36
CF42 6,33,36
CF42 9,0,36
CF43 3,40,36
CF43 4,66,36
CF44 0,53,36
CF44 4,0,36
CF44 6,86,36
CF44 7,37,36
CF44 8,34,36
CF44 9,55,36
CF45 3,60,36
CF45 4,43,36
CF46 5,22,36
CF46 6,70,36
CF47 0,58,36
CF47 7,0,36
CF47 8,78,36
CF47 9,127,36
CF48 1,65,36
CF48 2,43,36
CF48 3,58,36
CF48 4,55,36
CF5 1,166,36
CF5 2,91,36
CF5 3,85,36
CF5 4,141,36
CF5 5,133,36
CF5 6,56,36
