name,d02_high,d02_low,d03_high,d03_low,d06_high,d06_low,d09_high,d09_low,d12_high,d12_low,basis
B67,0.043535,0.124748,0.025487,0.076833,0.013406,0.023333,0.007639,0.019208,0.003823,0.015295,postcode
B68,0.019636,0.073626,0.010571,0.035337,0.000085,0.005401,0.000030,0.000171,0.000018,0.000074,postcode
B69,0.060336,0.186523,0.034326,0.099035,0.002885,0.024294,0.001432,0.008584,0.000015,0.004283,postcode
B70,0.044762,0.124211,0.017963,0.069095,0.002558,0.011563,0.000022,0.005116,0.000014,0.000056,postcode
B71,0.058511,0.155390,0.029193,0.097874,0.002935,0.026142,0.002887,0.015885,0.002877,0.005787,postcode
B72,0.051804,0.147059,0.041792,0.069937,0.008239,0.013146,0.000072,0.012463,0.000044,0.004197,postcode
B73,0.036160,0.110339,0.008901,0.065483,0.000104,0.006613,0.000036,0.002229,0.000022,0.000091,postcode
B74,0.021919,0.069543,0.010903,0.038151,0.000067,0.001651,0.000023,0.000134,0.000014,0.000058,postcode
B75,0.036156,0.114399,0.014230,0.065680,0.001591,0.011003,0.001540,0.001669,0.001529,0.001581,postcode
B76,0.024021,0.111020,0.010067,0.045464,0.001958,0.004233,0.000033,0.002055,0.000020,0.000084,postcode
B77,0.025951,0.088795,0.009425,0.039493,0.001054,0.009292,0.001020,0.002108,0.000011,0.001047,postcode
B78,0.028942,0.103549,0.008279,0.043513,0.003142,0.008075,0.001559,0.001690,0.000017,0.000069,postcode
B79,0.032343,0.135053,0.013285,0.054257,0.000073,0.003211,0.000025,0.000146,0.000016,0.000064,postcode
B80,0.037869,0.100500,0.005984,0.044316,0.000219,0.001163,0.000077,0.000440,0.000047,0.000191,postcode
B90,0.043749,0.123710,0.021834,0.060088,0.000981,0.006785,0.000017,0.004761,0.000010,0.002840,postcode
B91,0.037531,0.113789,0.018709,0.073265,0.001366,0.013342,0.001322,0.002732,0.001313,0.001357,postcode
B92,0.052074,0.137373,0.020624,0.082214,0.001408,0.017769,0.000024,0.006832,0.000015,0.001399,postcode
B93,0.037057,0.103172,0.012561,0.055714,0.000101,0.006418,0.000035,0.002164,0.000022,0.000088,postcode
B94,0.022065,0.052004,0.012308,0.017917,0.002937,0.003557,0.000050,0.003082,0.000031,0.002919,postcode
B95,0.072203,0.116669,0.031438,0.079801,0.003177,0.006868,0.000054,0.000312,0.000033,0.000136,postcode
B96,0.025761,0.098767,0.014874,0.041110,0.000225,0.001193,0.000079,0.000452,0.000048,0.000196,postcode
B97,0.063292,0.146582,0.026189,0.086929,0.001419,0.007116,0.000024,0.001489,0.000015,0.001410,postcode
B98,0.057018,0.152320,0.019138,0.081260,0.000064,0.015246,0.000022,0.001371,0.000014,0.000056,postcode
BA1,0.056133,0.188845,0.031850,0.131210,0.012429,0.055148,0.002766,0.019312,0.002067,0.006210,postcode
BA2,0.050858,0.116536,0.029302,0.067868,0.010514,0.027457,0.000924,0.012801,0.000005,0.005026,postcode
BA3,0.037567,0.096028,0.021546,0.050451,0.007948,0.014427,0.003169,0.004825,0.000796,0.003182,postcode
BA4,0.033236,0.092281,0.019624,0.052839,0.006112,0.020755,0.002429,0.009734,0.000014,0.000057,postcode
BA5,0.035806,0.116169,0.013410,0.044038,0.001430,0.005607,0.000040,0.004043,0.000015,0.001351,postcode
BA6,0.068204,0.160915,0.029614,0.095981,0.002003,0.018684,0.001860,0.007468,0.000022,0.001892,postcode
BA7,0.035227,0.095688,0.024461,0.064134,0.009545,0.019688,0.004664,0.014197,0.000054,0.004742,postcode
BA8,0.038363,0.079245,0.014873,0.044426,0.004845,0.010267,0.000134,0.004967,0.000052,0.000210,postcode
BA9,0.025750,0.110913,0.016858,0.060983,0.000288,0.006187,0.000081,0.000362,0.000032,0.000126,postcode
BA10,0.029667,0.087933,0.012338,0.047044,0.005690,0.022314,0.005286,0.021218,0.005190,0.020759,postcode
BA11,0.039953,0.104310,0.017426,0.051387,0.003509,0.012255,0.002588,0.004387,0.000864,0.000895,postcode
BA12,0.024266,0.065631,0.013455,0.033339,0.003589,0.006420,0.000027,0.001867,0.000010,0.000042,postcode
BA13,0.028945,0.098840,0.016034,0.044952,0.000169,0.005164,0.000047,0.000212,0.000019,0.000074,postcode
BA14,0.038388,0.108337,0.016609,0.040900,0.002305,0.006191,0.000023,0.002326,0.000009,0.000036,postcode
BA15,0.032817,0.083466,0.017476,0.046099,0.006465,0.019441,0.000064,0.000286,0.000025,0.000100,postcode
BA16,0.033295,0.081112,0.019286,0.055140,0.000285,0.006123,0.000080,0.002962,0.000031,0.000125,postcode
BA20,0.055333,0.111903,0.030914,0.075480,0.008819,0.024359,0.006504,0.008879,0.004318,0.006541,postcode
BA21,0.020108,0.060060,0.008160,0.026973,0.001413,0.005543,0.001313,0.001449,0.001289,0.001335,postcode
BA22,0.025629,0.076630,0.009132,0.032273,0.001368,0.005365,0.001271,0.002636,0.000015,0.000059,postcode
BB1,0.070894,0.141834,0.049487,0.090485,0.021898,0.033746,0.013277,0.022696,0.003909,0.008614,postcode
BB2,0.079338,0.155813,0.055698,0.089654,0.013925,0.043893,0.005141,0.016851,0.000747,0.007324,postcode
BB3,0.070836,0.142825,0.045262,0.090613,0.013219,0.025432,0.005516,0.014334,0.001117,0.007693,postcode
BB4,0.044134,0.087556,0.020972,0.050352,0.002399,0.010165,0.000057,0.003177,0.000021,0.000818,postcode
BB5,0.049584,0.096569,0.024829,0.051032,0.002085,0.008837,0.000709,0.003422,0.000678,0.000711,postcode
BB6,0.049405,0.083503,0.027425,0.052484,0.010725,0.021643,0.007924,0.013369,0.007803,0.010509,postcode
BB7,0.072762,0.135559,0.033089,0.076264,0.005978,0.012853,0.001732,0.004330,0.000023,0.000900,postcode
BB8,0.043472,0.085750,0.019899,0.046265,0.007839,0.015773,0.007728,0.011689,0.005124,0.006460,postcode
BB9,0.050389,0.109827,0.028238,0.064789,0.006123,0.021303,0.002307,0.009143,0.000021,0.001559,postcode
BB10,0.058160,0.163210,0.025241,0.094051,0.005754,0.021625,0.003428,0.006898,0.002260,0.006776,postcode
BB11,0.051932,0.113792,0.020494,0.049709,0.003893,0.010342,0.000092,0.005157,0.000034,0.002559,postcode
BB12,0.059055,0.116141,0.027047,0.062298,0.007270,0.011571,0.002106,0.004251,0.001043,0.001094,postcode
BB18,0.041456,0.095024,0.021682,0.045221,0.001992,0.014404,0.000128,0.007182,0.000047,0.000133,postcode
BD1,0.200678,0.334873,0.180391,0.293658,0.053501,0.228441,0.019457,0.172343,0.000034,0.140703,postcode
BD2,0.027952,0.074033,0.008704,0.043214,0.001467,0.011173,0.000048,0.002915,0.000019,0.002825,postcode
BD3,0.042457,0.128503,0.026453,0.070445,0.001870,0.012536,0.001767,0.002010,0.001731,0.001895,postcode
BD4,0.036913,0.100106,0.011833,0.046585,0.001128,0.004471,0.000037,0.002241,0.000015,0.000113,postcode
BD5,0.061996,0.141248,0.035191,0.072472,0.009977,0.021843,0.006605,0.010111,0.003297,0.008364,postcode
