district,cwd_yr_clim_mm,smd_jja_clim_mm
BB11 4,136.42,73.13
BB11 5,121.75,61.7
BB11 9,167.29,92.62
BB12 0,154.69,83.94
BB12 6,145.14,78.14
BB12 7,152.17,82.31
BB12 8,156.6,84.9
BB12 9,124.47,62.44
BB18 5,138.13,71.72
BB18 6,157.09,85.46
BB18 9,156.96,83.65
BB2 1,148.84,81.41
BB2 2,146.82,80.1
BB2 3,129.52,67.21
BB2 4,138.89,74.09
BB2 5,140.12,73.67
BB2 6,136.03,71.97
BB2 7,145.19,77.06
BB2 9,144.56,78.09
BB3 0,112.58,54.11
BB3 1,111.85,53.43
BB3 2,99.27,44.4
BB3 3,104.75,47.67
BB3 9,120.33,59.48
BB4 0,122.53,60.33
BB4 4,107.5,49.28
BB4 5,106.91,49.42
BB4 6,120.96,59.06
BB4 7,95.38,41.44
BB4 8,109.28,51.8
BB4 9,108.94,50.54
BB5 0,143.15,78.52
BB5 1,150.85,83.58
BB5 2,118.99,59.57
BB5 3,114.66,55.33
BB5 4,141.66,76.61
BB5 5,147.16,79.92
BB5 6,141.36,76.65
BB5 9,150.86,83.58
BB6 7,139.53,73.24
BB6 8,145.34,75.94
BB7 0,146.76,75.71
BB7 1,124.29,61.28
BB7 2,150.84,78.79
BB7 3,101.33,44.08
BB7 4,133.17,67.54
BB7 9,131.98,66.44
BB8 0,145.88,78.69
BB8 7,138.18,73.34
BB8 8,129.02,68.08
BB8 9,143.47,76.05
BB9 0,133.11,69.4
BB9 4,148.93,80.46
BB9 5,157.47,85.86
BB9 6,109.07,51.45
BB9 7,149.96,80.89
BB9 8,139.43,72.79
BB9 9,139.81,73.91
BD1 1,222.55,111.29
BD1 2,222.53,111.29
BD1 3,222.52,111.29
BD1 4,222.51,111.29
BD1 5,222.55,111.29
BD1 9,222.52,111.29
BD10 0,226.56,113.7
BD10 8,192.6,101.32
BD10 9,227.34,113.87
BD11 1,211.83,108.89
BD11 2,210.58,108.83
BD12 0,211.35,110.23
BD12 7,223.84,113.54
BD12 8,202.93,107.08
BD12 9,204.15,107.34
BD13 1,137.39,71.43
BD13 2,143.41,75.29
BD13 3,159.15,84.31
BD13 4,137.97,70.0
BD13 5,161.25,85.08
BD14 6,163.92,87.49
BD15 0,175.81,92.56
BD15 7,169.58,90.04
BD15 8,156.15,81.99
BD15 9,164.54,86.85
BD16 1,194.72,102.6
BD16 2,237.87,117.09
BD16 3,175.82,94.64
BD16 4,202.74,105.11
BD17 5,198.07,103.69
BD17 6,214.54,110.18
BD17 7,220.7,112.28
BD18 1,196.82,102.54
BD18 2,220.94,110.95
BD18 3,219.21,110.48
BD18 4,221.84,112.01
BD19 3,224.72,113.47
BD19 4,226.43,113.86
BD19 5,255.3,121.59
BD19 6,209.08,108.79
BD19 9,224.73,113.47
BD2 1,202.75,103.88
BD2 2,180.0,94.65
BD2 3,183.76,97.16
BD2 4,183.25,95.94
BD20 0,176.09,97.61
BD20 5,160.37,86.39
BD20 6,175.89,96.98
BD20 7,153.24,83.43
BD20 8,162.25,89.31
BD20 9,156.47,86.27
BD21 1,193.78,103.31
BD21 2,182.81,98.56
BD21 3,212.21,109.35
BD21 4,196.76,103.91
BD21 5,163.7,87.73
