name,fires_yr
LL26,3.2542
LL27,0.7283
LL28,6.9112
LL29,9.685
LL30,10.5218
LL31,4.3854
LL32,4.3234
LL33,2.5878
LL34,2.8358
LL35,1.5341
LL36,3.812
LL37,0.6198
LL38,0.7283
LL39,0.2944
LL40,5.5476
LL41,5.78
LL42,2.3399
LL43,0.4339
LL44,0.8058
LL45,0.8368
LL46,1.4411
LL47,0.7283
LL48,2.4639
LL49,3.0527
LL51,0.6973
LL52,2.4484
LL53,12.5982
LL54,8.0734
LL55,11.4825
LL56,1.1312
LL57,13.9774
LL58,2.9907
LL59,3.0992
LL60,1.7201
LL61,3.843
LL62,1.844
LL63,1.6271
LL64,0.8988
LL65,14.1943
LL66,0.3409
LL67,0.9453
LL68,3.5951
LL69,0.5424
LL70,0.3099
LL71,1.3172
LL72,0.6818
LL73,0.186
LL74,1.2397
LL75,0.9298
LL76,0.1395
LL77,3.936
LL78,0.3409
LN1,16.7732
LN10,1.8055
LN11,14.6935
LN12,9.4204
LN13,4.5058
LN2,25.2429
LN3,4.3072
LN4,14.5929
LN5,16.5043
LN6,26.1157
LN7,2.2034
LN8,6.9047
LN9,4.0522
LS1,5.404
LS10,23.2752
LS11,35.4148
LS12,29.8539
LS13,24.3425
LS14,22.9852
LS15,12.7562
LS16,14.0174
LS17,15.0545
LS18,5.7669
LS19,6.2106
LS2,6.696
LS20,3.2124
LS21,5.6543
LS22,4.6473
LS23,2.4421
LS24,5.7161
LS25,11.4831
LS26,7.5257
LS27,10.3456
LS28,13.9158
LS29,8.8623
LS3,4.6269
LS4,5.0048
LS5,4.4818
LS6,18.5173
LS7,18.9572
LS8,29.9733
LS88,0.3951
LS9,39.0586
LS98,0.044
LS99,0.037
LU1,49.0856
LU2,34.5059
LU3,34.7263
LU4,30.5601
LU5,19.5162
LU6,15.6712
LU7,26.2622
M1,14.6233
M11,22.4991
M12,16.4716
M13,17.365
M14,45.8986
M15,23.4681
M16,33.5244
M17,1.0953
M18,26.7461
M19,26.9162
M2,1.6481
M20,30.2474
M21,20.6707
M22,37.7735
M23,25.3505
M24,35.4899
M25,22.3052
M26,21.8471
M27,24.3729
M28,25.1676
M29,12.3519
M3,15.8755
M30,35.211
M31,5.7058
M32,17.5391
M33,30.7077
M34,22.4236
M35,13.0849
M38,13.7818
M4,12.9727
M40,50.7479
M41,18.3739
M43,15.215
M44,11.6668
M45,12.3649
M46,17.9484
M5,17.0045
M50,4.905
M6,28.7201
M60,1.3388
M61,0.7757
M7,41.7686
M8,28.0317
M9,40.8989
M90,0.9591
M99,0.196
ME1,10.5984
ME10,17.0206
ME11,1.2991
ME12,20.4509
ME13,9.0384
ME14,10.718
ME15,17.9437
ME16,8.2005
ME17,8.1372
ME18,1.613
ME19,4.911
ME2,13.838
ME20,4.6353
ME3,8.0961
ME4,15.8758
ME5,16.6121
ME6,3.885
ME7,24.0721
ME8,10.6544
ME9,6.5738
MK1,1.8844
MK10,10.2212
MK11,5.777
MK12,7.4648
MK13,11.2044
MK14,10.3631
MK15,3.7258
MK16,6.1519
MK17,7.2842
MK18,12.437
MK19,4.3691
MK2,11.6191
MK3,10.2506
MK4,7.9704
MK40,29.4635
MK41,19.9773
MK42,26.006
MK43,12.1247
MK44,4.2782
MK45,13.7267
MK46,2.8925
MK5,6.4721
MK6,19.2533
MK7,6.7068
MK77,0.2231
MK8,5.8719
MK9,5.6105
ML1,53.4122
ML10,10.1415
ML11,32.1541
ML12,9.6909
ML2,32.687
ML3,38.633
ML4,21.4988
ML5,37.1579
ML6,44.8201
ML7,15.2291
ML8,15.5246
ML9,20.4615
