name,d02_high,d02_low,d03_high,d03_low,d06_high,d06_low,d09_high,d09_low,d12_high,d12_low
SK2,0.044073,0.128177,0.02283,0.076128,0.004549,0.02137,0.001439,0.006453,0.000487,0.001523
SK3,0.030604,0.130088,0.013419,0.074709,0.002695,0.02197,0.00088,0.009679,0.00033,0.006489
SK4,0.045903,0.140687,0.021116,0.083806,0.004256,0.022449,0.00095,0.009005,0.000219,0.003452
SK5,0.037744,0.093833,0.016429,0.049033,0.002696,0.0119,0.000948,0.004802,0.000316,0.002043
SK6,0.035783,0.066616,0.022905,0.04272,0.008125,0.017624,0.003472,0.010234,0.001883,0.005975
SK7,0.045557,0.105407,0.024459,0.062246,0.00478,0.016788,0.001215,0.006364,0.00031,0.002647
SK8,0.037216,0.126381,0.01909,0.070851,0.004415,0.017472,0.001594,0.007595,0.000646,0.004668
SK9,0.037153,0.082443,0.019461,0.048164,0.003066,0.011308,0.000644,0.002902,0.000216,0.001194
SK10,0.022935,0.045365,0.013154,0.028834,0.003817,0.010087,0.001779,0.004752,0.000993,0.002532
SK11,0.024255,0.045711,0.014961,0.029875,0.004352,0.011814,0.00177,0.005895,0.00076,0.002804
SK12,0.034558,0.067186,0.020996,0.041585,0.00529,0.013533,0.002252,0.005335,0.001109,0.002761
SK13,0.035086,0.052326,0.021255,0.030332,0.007112,0.012337,0.003364,0.006526,0.001731,0.00374
SK14,0.033037,0.062302,0.022385,0.041263,0.010234,0.020405,0.006178,0.013017,0.004147,0.009057
SK15,0.043397,0.073561,0.029228,0.047047,0.013093,0.022802,0.008921,0.014747,0.007112,0.010153
SK16,0.045739,0.128789,0.022746,0.078588,0.003998,0.024667,0.00251,0.008956,0.001642,0.00533
SK17,0.013169,0.025194,0.008253,0.016723,0.003372,0.007795,0.001862,0.004633,0.001244,0.002966
SK22,0.023388,0.034941,0.014611,0.021997,0.004741,0.008979,0.002026,0.004553,0.00077,0.002305
SK23,0.017199,0.027156,0.01061,0.01742,0.004072,0.007278,0.002235,0.00406,0.001462,0.002638
SL0,0.034833,0.072259,0.019061,0.040661,0.006021,0.012785,0.002229,0.006214,0.001223,0.002662
SL1,0.025274,0.078151,0.012757,0.042296,0.002745,0.011116,0.000985,0.004641,0.000644,0.00258
SL2,0.040487,0.092071,0.021781,0.057059,0.007111,0.01805,0.003584,0.008193,0.00235,0.004558
SL3,0.023943,0.065421,0.013018,0.034511,0.003386,0.008175,0.000481,0.003328,0.000172,0.000852
SL4,0.048446,0.094998,0.027804,0.057668,0.009367,0.018056,0.004437,0.008479,0.001853,0.004329
SL5,0.024787,0.048249,0.013809,0.028537,0.003336,0.007868,0.000931,0.002819,0.000342,0.001055
SL6,0.022752,0.056812,0.011588,0.03126,0.00302,0.007996,0.00117,0.003418,0.000358,0.001761
SL7,0.009235,0.036558,0.004829,0.020506,0.001627,0.005212,0.000958,0.002615,0.000583,0.001624
SL8,0.010736,0.045211,0.005175,0.021112,0.000669,0.002188,0.000103,0.000257,2.6e-05,2.6e-05
SL9,0.022705,0.052422,0.013728,0.035061,0.005658,0.016461,0.003168,0.01053,0.001693,0.007139
SM1,0.054375,0.152549,0.03374,0.095875,0.015059,0.035493,0.008449,0.021871,0.005748,0.015749
SM2,0.032256,0.070129,0.022508,0.049188,0.011213,0.027006,0.006349,0.016484,0.004884,0.012475
SM3,0.039296,0.113929,0.021355,0.078084,0.004976,0.034175,0.001489,0.018123,0.000436,0.010932
SM4,0.037282,0.107375,0.015635,0.05956,0.003082,0.013968,0.001212,0.00533,0.000808,0.002501
SM5,0.031803,0.112266,0.017767,0.075056,0.005625,0.027197,0.001766,0.011268,0.000583,0.006171
SM6,0.019075,0.080361,0.009392,0.046834,0.001937,0.011953,0.000729,0.004498,0.000396,0.002499
SM7,0.005496,0.015875,0.002576,0.00825,0.00051,0.001364,0.000204,0.000612,0.000128,0.000268
SN1,0.104252,0.191511,0.071721,0.139997,0.028321,0.073596,0.014294,0.042902,0.008286,0.026484
SN2,0.070327,0.131257,0.038232,0.083918,0.013924,0.033165,0.007566,0.016256,0.00422,0.009676
SN3,0.084411,0.149231,0.0519,0.103723,0.015464,0.042517,0.007325,0.015906,0.004083,0.007871
SN4,0.021897,0.036526,0.012959,0.021427,0.0037,0.006289,0.00123,0.002419,0.000403,0.001037
SN5,0.0642,0.114707,0.039832,0.075773,0.014307,0.02946,0.007961,0.016136,0.004769,0.010194
SN6,0.040312,0.072037,0.021849,0.040248,0.005175,0.009387,0.001291,0.002981,0.000239,0.001008
SN7,0.048756,0.085041,0.025804,0.048513,0.004598,0.008899,0.00096,0.001691,0.000192,0.000548
SN8,0.005695,0.011938,0.003629,0.007242,0.001222,0.002616,0.000551,0.001239,0.00027,0.000607
SN9,0.006732,0.013738,0.003841,0.008352,0.000892,0.002415,0.000372,0.001141,0.000172,0.000625
SN10,0.017304,0.030108,0.009714,0.017384,0.002168,0.0046,0.000715,0.001651,0.000305,0.000809
SN11,0.018391,0.029774,0.010735,0.017297,0.00283,0.004792,0.000853,0.00171,0.000292,0.000739
SN12,0.039758,0.068901,0.022279,0.040267,0.005209,0.010521,0.001308,0.003589,0.000461,0.001752
SN13,0.010155,0.01953,0.005109,0.012077,0.001392,0.003806,0.000623,0.001912,0.000335,0.001104
SN14,0.009236,0.016864,0.005397,0.009469,0.001496,0.002907,0.000509,0.001087,0.000255,0.000458
SN15,0.039,0.065299,0.022328,0.036741,0.005666,0.009861,0.001538,0.003375,0.000552,0.001411
SN16,0.031629,0.053071,0.018042,0.031458,0.004748,0.00841,0.001688,0.003306,0.000338,0.001532
SN25,0.059953,0.100379,0.0351,0.062292,0.014327,0.023264,0.009471,0.013831,0.006636,0.009191
SN26,0.03973,0.07662,0.021252,0.039571,0.00593,0.012006,0.002628,0.005653,0.00136,0.002945
SO14,0.018617,0.066205,0.006565,0.032345,0.001584,0.007002,0.000528,0.001791,0.000161,0.000505
SO15,0.027081,0.088391,0.012507,0.042645,0.001816,0.008136,0.000812,0.001905,0.000473,0.001137
SO16,0.026355,0.055397,0.01424,0.029408,0.003733,0.008771,0.001823,0.004046,0.001036,0.002417
SO17,0.051661,0.105898,0.031521,0.073955,0.012131,0.032177,0.006651,0.019859,0.004028,0.014566
SO18,0.020835,0.049968,0.009438,0.023531,0.001942,0.004848,0.000433,0.001621,0.000257,0.00053
SO19,0.019195,0.040761,0.010829,0.02461,0.003648,0.00976,0.000871,0.005682,0.000267,0.003219
SO20,0.003448,0.009013,0.001833,0.00469,0.000367,0.00118,0.000101,0.000437,3.1e-05,0.000206
SO21,0.005888,0.011651,0.003439,0.006987,0.000974,0.002683,0.000358,0.001402,0.000132,0.000704
SO22,0.005845,0.015867,0.00321,0.009905,0.000804,0.004132,0.000301,0.002491,9.2e-05,0.001314
SO23,0.013271,0.036691,0.006995,0.020869,0.001457,0.005923,0.000604,0.002321,0.000177,0.001301
SO24,0.003093,0.007243,0.001848,0.003975,0.000599,0.001133,0.00018,0.000529,3.8e-05,0.000217
SO30,0.030946,0.050571,0.017391,0.029053,0.004581,0.008279,0.001496,0.003319,0.000442,0.001414
