name,country,share
G22,Scotland,1.0
G23,Scotland,1.0
G31,Scotland,1.0
G32,Scotland,1.0
G33,Scotland,1.0
G34,Scotland,1.0
G40,Scotland,1.0
G41,Scotland,1.0
G42,Scotland,1.0
G43,Scotland,1.0
G44,Scotland,1.0
G45,Scotland,1.0
G46,Scotland,1.0
G51,Scotland,1.0
G52,Scotland,1.0
G53,Scotland,1.0
G60,Scotland,1.0
G61,Scotland,1.0
G62,Scotland,1.0
G63,Scotland,1.0
G64,Scotland,1.0
G65,Scotland,1.0
G66,Scotland,1.0
G67,Scotland,1.0
G68,Scotland,1.0
G69,Scotland,1.0
G71,Scotland,1.0
G72,Scotland,1.0
G73,Scotland,1.0
G74,Scotland,1.0
G75,Scotland,1.0
G76,Scotland,1.0
G77,Scotland,1.0
G78,Scotland,1.0
G81,Scotland,1.0
G82,Scotland,1.0
G83,Scotland,1.0
G84,Scotland,1.0
GL1,England,1.0
GL2,England,1.0
GL3,England,1.0
GL4,England,1.0
GL5,England,1.0
GL6,England,1.0
GL7,England,1.0
GL8,England,1.0
GL9,England,1.0
GL10,England,1.0
GL11,England,1.0
GL12,England,1.0
GL13,England,1.0
GL14,England,1.0
GL15,England,0.926
GL16,England,0.9631
GL17,England,1.0
GL18,England,1.0
GL19,England,1.0
GL20,England,1.0
GL50,England,1.0
GL51,England,1.0
GL52,England,1.0
GL53,England,1.0
GL54,England,1.0
GL55,England,1.0
GL56,England,1.0
GU1,England,1.0
GU2,England,1.0
GU3,England,1.0
GU4,England,1.0
GU5,England,1.0
GU6,England,1.0
GU7,England,1.0
GU8,England,1.0
GU9,England,1.0
GU10,England,1.0
GU11,England,1.0
GU12,England,1.0
GU14,England,1.0
GU15,England,1.0
GU16,England,1.0
GU17,England,1.0
GU18,England,1.0
GU19,England,1.0
GU20,England,1.0
GU21,England,1.0
GU22,England,1.0
GU23,England,1.0
GU24,England,1.0
GU25,England,1.0
GU26,England,1.0
GU27,England,1.0
GU28,England,1.0
GU29,England,1.0
GU30,England,1.0
GU31,England,1.0
GU32,England,1.0
GU33,England,1.0
GU34,England,1.0
GU35,England,1.0
GU46,England,1.0
GU47,England,1.0
GU51,England,1.0
GU52,England,1.0
HA0,England,1.0
HA1,England,1.0
HA2,England,1.0
HA3,England,1.0
HA4,England,1.0
HA5,England,1.0
HA6,England,1.0
HA7,England,1.0
HA8,England,1.0
HA9,England,1.0
HD1,England,1.0
HD2,England,1.0
HD3,England,1.0
HD4,England,1.0
HD5,England,1.0
HD6,England,1.0
HD7,England,1.0
HD8,England,1.0
HD9,England,1.0
HG1,England,1.0
HG2,England,1.0
HG3,England,1.0
HG4,England,1.0
HG5,England,1.0
HP1,England,1.0
HP2,England,1.0
HP3,England,1.0
HP4,England,1.0
HP5,England,1.0
HP6,England,1.0
HP7,England,1.0
HP8,England,1.0
HP9,England,1.0
HP10,England,1.0
HP11,England,1.0
HP12,England,1.0
HP13,England,1.0
HP14,England,1.0
HP15,England,1.0
HP16,England,1.0
HP17,England,1.0
HP18,England,1.0
HP19,England,1.0
HP20,England,1.0
HP21,England,1.0
HP22,England,1.0
HP23,England,1.0
HP27,England,1.0
HR1,England,1.0
HR2,England,0.99
HR3,England,0.6087
HR4,England,1.0
HR5,England,0.5673
HR6,England,0.9999
HR7,England,1.0
HR8,England,1.0
HR9,England,0.9921
HS1,Scotland,1.0
HS2,Scotland,1.0
HS3,Scotland,1.0
HS4,Scotland,1.0
HS5,Scotland,1.0
HS6,Scotland,1.0
HS7,Scotland,1.0
HS8,Scotland,1.0
HS9,Scotland,1.0
HU1,England,1.0
HU2,England,1.0
HU3,England,1.0
HU4,England,1.0
HU5,England,1.0
HU6,England,1.0
HU7,England,1.0
HU8,England,1.0
HU9,England,1.0
HU10,England,1.0
HU11,England,1.0
HU12,England,1.0
HU13,England,1.0
HU14,England,1.0
HU15,England,1.0
HU16,England,1.0
HU17,England,1.0
HU18,England,1.0
HU19,England,1.0
HU20,England,1.0
HX1,England,1.0
HX2,England,1.0
HX3,England,1.0
HX4,England,1.0
HX5,England,1.0
HX6,England,1.0
HX7,England,1.0
IG1,England,1.0
IG2,England,1.0
IG3,England,1.0
IG4,England,1.0
IG5,England,1.0
IG6,England,1.0
IG7,England,1.0
IG8,England,1.0
IG9,England,1.0
IG10,England,1.0
IG11,England,1.0
IP1,England,1.0
IP2,England,1.0
IP3,England,1.0
IP4,England,1.0
IP5,England,1.0
IP6,England,1.0
IP7,England,1.0
IP8,England,1.0
IP9,England,1.0
IP10,England,1.0
IP11,England,1.0
IP12,England,1.0
IP13,England,1.0
IP14,England,1.0
IP15,England,1.0
IP16,England,1.0
IP17,England,1.0
