name,sw_high,sw_low
BD14 6,0.025240,0.054701
BD15 0,0.107887,0.191312
BD15 7,0.056308,0.125137
BD15 8,0.077317,0.128382
BD15 9,0.080945,0.122291
BD16 1,0.023826,0.070813
BD16 2,0.033959,0.100764
BD16 3,0.044016,0.100648
BD16 4,0.034824,0.099709
BD17 5,0.055383,0.157537
BD17 6,0.061028,0.097982
BD17 7,0.100506,0.227211
BD18 1,0.017468,0.058895
BD18 2,0.001656,0.011710
BD18 3,0.031665,0.111212
BD18 4,0.005997,0.037471
BD19 3,0.045859,0.073234
BD19 4,0.037282,0.074805
BD19 5,0.038452,0.101603
BD19 6,0.029252,0.077293
BD19 9,0.038400,0.079941
BD2 1,0.040359,0.114298
BD2 2,0.011666,0.025991
BD2 3,0.043216,0.098951
BD2 4,0.027785,0.081945
BD20 0,0.054769,0.123013
BD20 5,0.023594,0.095813
BD20 6,0.060783,0.114660
BD20 7,0.063143,0.154872
BD20 8,0.116514,0.170203
BD20 9,0.075921,0.151991
BD21 1,0.039827,0.130710
BD21 2,0.046554,0.110535
BD21 3,0.090542,0.177339
BD21 4,0.048075,0.126978
BD21 5,0.069283,0.135228
BD21 9,0.056230,0.133246
BD22 0,0.052140,0.134394
BD22 6,0.051554,0.152671
BD22 7,0.059054,0.104705
BD22 8,0.003756,0.059368
BD22 9,0.034939,0.062772
BD23 1,0.059459,0.125368
BD23 2,0.106021,0.179906
BD23 3,0.067617,0.108409
BD23 4,0.077888,0.137534
BD23 5,0.047979,0.121998
BD23 6,0.083508,0.116717
BD23 9,0.037419,0.066554
BD24 0,0.011368,0.036708
BD24 9,0.043805,0.078573
BD3 0,0.021453,0.132728
BD3 7,0.017765,0.117878
BD3 8,0.032831,0.107929
BD3 9,0.055787,0.158476
BD4 0,0.052857,0.098521
BD4 6,0.034397,0.113705
BD4 7,0.048883,0.105278
BD4 8,0.056531,0.132165
BD4 9,0.043419,0.116207
BD5 0,0.096690,0.163641
BD5 5,0.067033,0.132764
BD5 7,0.076597,0.130780
BD5 8,0.059375,0.134321
BD5 9,0.041708,0.105996
BD6 1,0.048950,0.081173
BD6 2,0.016475,0.075644
BD6 3,0.022175,0.075725
BD7 1,0.075797,0.143632
BD7 2,0.036767,0.064509
BD7 3,0.024026,0.073323
BD7 4,0.046548,0.098136
BD8 0,0.045431,0.089619
BD8 7,0.031669,0.114383
BD8 8,0.016950,0.062567
BD8 9,0.063514,0.206377
BD9 4,0.022860,0.082935
BD9 5,0.025797,0.060072
BD9 6,0.041431,0.114197
BH1 1,0.009873,0.023408
BH1 2,0.013822,0.138653
BH1 3,0.000994,0.015827
BH1 4,0.010820,0.023809
BH10 4,0.034323,0.071514
BH10 5,0.048346,0.093319
BH10 6,0.012159,0.027124
BH10 7,0.043198,0.172708
BH11 0,0.014262,0.031151
BH11 8,0.009808,0.028425
BH11 9,0.016620,0.030261
BH12 1,0.028591,0.095606
BH12 2,0.052807,0.113316
BH12 3,0.036797,0.075049
BH12 4,0.030432,0.062278
BH12 5,0.006603,0.035838
BH12 9,0.033015,0.079189
BH13 6,0.028444,0.051289
BH13 7,0.001648,0.020919
BH14 0,0.028471,0.050700
BH14 4,0.036136,0.059533
BH14 8,0.032306,0.063669
BH14 9,0.052546,0.061389
BH15 1,0.073139,0.141210
BH15 2,0.034026,0.072995
BH15 3,0.055003,0.117925
BH15 4,0.054463,0.076874
BH15 9,0.054534,0.103305
BH16 5,0.029076,0.093783
BH16 6,0.030048,0.045577
BH17 0,0.214003,0.301123
BH17 7,0.045078,0.098737
BH17 8,0.033814,0.101123
BH17 9,0.164168,0.250468
BH18 8,0.059928,0.095282
BH18 9,0.043259,0.098222
BH19 1,0.064055,0.166716
BH19 2,0.026872,0.054937
BH19 3,0.020999,0.044273
BH19 9,0.038592,0.092202
BH2 5,0.001345,0.023943
BH2 6,0.017614,0.028732
BH20 4,0.024255,0.054514
BH20 5,0.036259,0.069323
BH20 6,0.008793,0.068780
BH20 7,0.013012,0.049258
BH20 9,0.021659,0.060558
BH21 1,0.052606,0.112521
BH21 2,0.017916,0.062765
BH21 3,0.015111,0.034554
BH21 4,0.003322,0.046997
