name,area,households,group,premium,capital,el_total,el_sub,el_wx,el_fl,el_gw,el_th,el_eow,el_fire,el_ad,sub_score,wx_score,fl_score,gw_score,f_high,f_low,sw_high,sw_low,gw_frac,sw_depth_m,sw_sev,rs_depth_m,rs_sev,th_rate,eow_rate,frost_days,fire_rate,ad_rate,wind_ms,gust_rp50,rain10_days,precip_mm,tvar99_vine,tvar99_euler,uplift_pct,el_er,er_score,er_head,er_basis,er_smp55,er_smp105,er_nfi55,er_nfi105,er_smp105_lo,er_smp105_hi,er_nfi105_lo,er_nfi105_hi,er_gi,er_dc50_hi,er_dc100_hi,er_dc50_lo,er_dc100_lo,cc_covered,premium_cc,el_total_cc,cc_uplift_pct,country,geol,sup_geol,sup_frac
AB56,AB,10040.0,2,135.5,4.9804,130.48,5.67,20.52,26.1,1.75,3.47,38.32,22.31,12.35,0.1692,0.4267,0.8095,0.8802,0.0266,0.033,0.1376,0.2288,0.02,0.0,1.0,0.0,1.0,0.0014,0.0112,46.0,0.0018,0.0087,5.3,154.0,18.7,903.0,9400.1,213.5,1.7087,7.24,0.2488679,0.0023169,dynamiccoast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006504,0.0023169,0.0005104,0.0011579,0,135.4813,130.48,0.0,Scotland,none (low-plasticity bedrock),Till,0.6358
AL1,AL,16113.0,6,171.1,4.9669,166.09,8.19,11.94,12.81,1.14,33.76,52.15,28.22,17.88,0.1581,0.2205,0.4574,0.0,0.001,0.0038,0.0501,0.1033,0.0,0.25,1.0639,0.11,0.5094,0.0098,0.0109,41.8,0.0016,0.009,4.3,135.0,16.7,697.0,11460.3,248.9,2.4442,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,172.9577,168.02,1.1139,England,LAMBETH GROUP,Glacial Sand And Gravel,0.9565
AL10,AL,12764.0,6,173.9,4.7083,169.22,11.84,11.18,13.43,1.14,34.86,44.37,37.21,15.2,0.2368,0.2006,0.5245,0.0,0.0001,0.0027,0.0608,0.1609,0.0,0.18,0.911,0.19,0.6806,0.0119,0.0109,41.7,0.0025,0.009,4.2,138.0,15.3,665.0,11825.3,247.7,4.8401,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,176.3145,171.57,1.3699,England,LAMBETH GROUP,Till,0.9044
AL2,AL,9637.0,4,156.6,5.212,151.35,8.41,11.26,15.71,1.14,23.62,54.31,18.45,18.47,0.1582,0.2028,0.5651,0.0,0.0177,0.0287,0.0488,0.1212,0.0,0.19,0.9143,0.26,0.793,0.0066,0.0109,42.1,0.001,0.009,4.3,135.0,15.2,698.0,10798.9,238.2,3.2803,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,160.1564,154.9,2.2937,England,none (low-plasticity bedrock),Glacial Sand And Gravel,0.9948
AL3,AL,11836.0,5,164.2,5.2691,158.9,8.03,12.14,13.01,1.49,24.25,56.33,24.59,19.05,0.16,0.2257,0.4626,0.6694,0.0022,0.0022,0.0472,0.1147,0.0116,0.26,1.0849,0.14,0.5596,0.0066,0.011,44.0,0.0013,0.009,4.6,126.0,17.5,724.0,11151.7,246.7,3.1238,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,166.1095,160.88,1.185,England,LAMBETH GROUP,Glacial Sand And Gravel,0.5832
AL4,AL,10913.0,5,159.3,5.1749,154.13,8.77,11.85,12.36,1.14,21.53,55.41,23.96,19.12,0.1703,0.2182,0.425,0.0,0.0026,0.0052,0.0367,0.0967,0.0,0.24,1.0418,0.47,1.1253,0.0059,0.0109,42.2,0.0013,0.0091,4.4,135.0,16.0,676.0,10775.4,240.4,2.2582,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,161.7125,156.56,1.5089,England,none (low-plasticity bedrock),Till,0.6081
AL5,AL,12371.0,7,177.9,5.9883,171.93,13.98,12.37,13.96,1.14,28.48,62.13,18.62,21.25,0.3014,0.2316,0.4654,0.0,0.0001,0.0001,0.0535,0.1131,0.0,0.34,1.2441,0.26,0.7844,0.007,0.011,43.8,0.0009,0.0091,4.5,130.0,17.9,700.0,12158.1,271.7,5.1715,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,180.341,174.38,1.3624,England,LAMBETH GROUP,Clay-With-Flints,0.7064
AL6,AL,5124.0,6,169.3,5.5306,163.8,9.38,11.67,9.88,1.14,24.15,62.96,23.64,20.98,0.1849,0.2135,0.311,0.0,0.0001,0.006,0.0211,0.0486,0.0,0.25,1.0269,0.12,0.5278,0.0059,0.011,43.6,0.0012,0.0089,4.3,139.0,15.4,657.0,11428.9,256.0,1.9833,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,169.528,164.16,0.1168,England,LAMBETH GROUP,Glacial Sand And Gravel,0.7615
AL7,AL,15380.0,3,146.9,4.437,142.43,9.18,11.06,11.6,1.14,23.2,44.0,27.16,15.09,0.1695,0.1973,0.4161,0.0,0.0001,0.0001,0.0364,0.1095,0.0,0.22,1.0037,0.26,0.7806,0.008,0.0109,41.7,0.0019,0.009,4.2,139.0,14.7,659.0,9978.5,216.4,2.7638,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,148.5194,144.1,1.1273,England,none (low-plasticity bedrock),Till,0.9861
AL8,AL,5739.0,5,161.5,5.0768,156.42,11.08,11.25,11.74,1.14,26.12,52.43,24.89,17.77,0.2211,0.2025,0.4147,0.0,0.0049,0.005,0.033,0.0858,0.0,0.25,1.0545,0.11,0.5069,0.0076,0.0109,42.2,0.0014,0.0089,4.2,138.0,15.5,665.0,10947.1,241.0,3.7012,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,162.8548,157.84,0.8387,England,LAMBETH GROUP,Till,0.8014
AL9,AL,4708.0,9,207.9,6.4093,201.48,21.94,11.62,17.52,1.14,37.13,59.54,32.87,19.73,0.4218,0.2122,0.5989,0.0,0.0069,0.0161,0.0838,0.1411,0.0,0.25,1.0776,0.38,0.958,0.0096,0.0111,44.1,0.0017,0.0089,4.2,138.0,16.5,665.0,14275.7,308.3,8.1239,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,209.2788,202.91,0.6676,England,LAMBETH GROUP,Glacial Sand And Gravel,0.7941
